,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
494,Penjadwalan Pembuatan Inboard Outer Fixed Leading Edge di PT. Dirgantara Indonesia (Persero) Menggunakan Algoritma Genetika,Ari Yulianto,"Heri Awalul Ilhamsah, S.T., M.T","Indra Cahyadi, S.T., M.Bus., Ph.D","PT. Dirgantara Indonesia (Persero) merupakan perusahaan yang bergerak pada industri penerbangan. Pekerjaan yang dilakukan tidak mencakup pembuatan pesawat terbang secara keseluruhan namun juga melakukan pembuatan komponen pesawat terbang berdasarkan pesanan. Pesanan yang dilakukan berdasarkan kontrak antar pihak perusahaan dengan konsumen memiliki pengaruh besar terhadap perusahaan. Pesanan terpenting datang dari Spirit Aerosystem, jika pengiriman mengalami keterlambatan maka perusahaan akan menanggung resik berupa penalti. Keterlambatan pengiriman produk yang bersifat general flow shop sering kali dialami oleh perusahaan terutama pembuatan Inboard Outer Fixed Leading Egde terutama pembuatan Drive Rib 1 hal ini ditunjukkan oleh persentase keterlambatan sebesar 19,33% dengan keterlambatan total sebesar 4437,63 jam selama Januari 2017 hingga awal Januari 2018. Pada penelitian ini dilakukan pengamatan pada keterlambatan pengiriman produk, serta dilakukan penelitian dengan penjadwalan job dengan penentuan prioritas job yang akan dikerjakan terlebih dahulu. Tujuan penjadwalan yang digunakan adalah melakukan minimasi total tardiness. Metode penjadwalan yang dibuat sesuai dengan karakteristik perusahaan yaitu adanya fleksibilitas penentuan pembuatan  job. Permasalahan yang dialami merupakan permasalahan Non-Deterministic Polynomial-time hard (NP-hard). Untuk mendapatkan hasil optimal dengan permasalahan NP-hard dibutuhkan waktu yang lama untuk meyelesaiakan. Oleh sebab itu dilakukan penelitian dengan pendekatan metaheuristik yaitu Algoritma Genetika. Representasi kromosom yang diguanakn adalah representasi kromosom tidak langsung. Operator genetika terdiri dari seleksi roulette wheel, elitis 1 kromosom, crossover partial mutation (PMX), dan mutasi 1 titik. Kemudian kondisi terminasi dicapai apabila tidak ada perubahan sebanyak 30 kali. Kemudian Algoritma usulan diuji menggunakan data historis perusahaan sehingga didapat usulan perbaikan sebesar 100% dibandingkan penjadwalan FCFS perusahaan, dengan nilai tardiness sebesar 0 jam."
495,USULAN PERBAIKAN KUALITAS PRODUK PYLON A320 PADA PROGRAM SPIRIT AEROSYSTEM MENGGUNAKAN STATISTICAL QUALITY CONTROL (SQC) DI PT. DIRGANTARA INDONESIA,Muhammad Azmi Alamsyah,"Dr. Rachmad Hidayat, S.T.,M.T","Sabrudin Akhmad, S.T.,M.T","PT. Dirgantara Indonesia saat ini berperan sebagai penyuplai komponen pesawat Aibus A320 dan usaha meningkatkan kualitas produknya adalah salah satu fokus utamanya. Namun kondisi eksisting di PT. Dirgantara Indonesia pada Program Spirit Aerosystem yang memproduksi komponen Pylon diantaranya terdiri dari part RIB Pylon Outboard dan RIB FX Pylon berturut-turut memiliki persentase kecacatan 3,1% dan 2,4%. Persentase kecacatan yang saat ini terjadi masih belum memenuhi target yang ditetapkan perusahaan sebesar 1%. Sebuah produk yang memiliki tingkat kualitas yang baik harus memenuhi suatu suatu spesifikasi yang telah ditentukan. Dengan berbagai pertimbangan RIB Pylon Outboard dan RIB FX Pylon dipilih sebagai objek penelitian karena 2 part memiliki urutan pengerjaan proses yang sama. Statistical Quality Control merupakan tools yang digunakan untuk meningkatkan kualitas produk. Hasil dari Peta Kendali P yang merupakan salah satu tool dari SQC menunjukan bahwa proses tidak berjalan dengan stabil pada pembuatan part RIB Pylon Outboard dan RIB FX Pylon dengan nilai P bar revisi berturut-turut sebesar 0,0191 dan 0,0142 dengan nilai sigma 3,57 ? dan 3,69 ?, karena proses tidak berjalan dengan stabil dan kapabilitas proses memenuhi level 3 sigma, maka tetap dilakukan perbaikan proses untuk mengurangi persentase kecacatan. Perbaikan menggunakan metode Delphi ditemukan 11 faktor kritis penyebab kecacatan. Kemudian dilakukan pembangkitan solusi dan rancangan penerapan solusi dihasilkan 14 alternatif solusi perbaikan"
496,Penerapan Multivariate Analysis Of Variance (MANOVA) dalam Mengukur Perbedaan Persepsi Tentang Pelayanan Pasien Rawat Inap di RSUD Kabupaten Sampang,Anisa Ulfah,"Dr. Rachmad Hidayat, S.T., M.T.","Rullie Annisa, S.T., M.T.","Penelitian ini bertujuan untuk menerapkan Multivariate Analysis of Variance (MANOVA) dalam mengukur perbedaan persepsi tentang pelayanan pasien rawat inap di RSUD Kabupaten Sampang tahun 2018. Kualitas pelayanan merupakan hal yang harus diperhatikan khususnya dibidang jasa kesehatan untuk kelangsungan hidupnya dalam persaingan. Salah satunya adalah dengan menjaga kualitas pelayanan baik dari segi kehandalan, daya tanggap, jaminan, simpati, dan fasilitas fisik yang diberikan. Pada penelitian ini, data yang akan dianalisis adalah dimensi kualitas pelayanan  terhadap pasien rawat inap JKN dan Umum/mandiri di RSUD Kabupaten Sampang. Masing-masing pasien memiliki 5 variabel yang sama, yaitu kehandalan, daya tanggap, jaminan, simpati, dan fasilitas fisik. Analisis yang digunakan adalah MANOVA, analisis ini digunakan untuk mengetahui adanya pengaruh jenis pasien terhadap kelima komponen kualitas tersebut. Berdasarkan uji normalitas diketahui bahwa kelima variabel dimensi kualitas berdistribusi normal multivariat. Pada pengujian homogenitas menunjukkan bahwa matriks varians kovarians dari kelima variabel homogen. Selanjutnya hasil penelitian diperoleh informasi bahwa jenis pasien memberikan pengaruh yang berbeda terhadap dimensi kualitas kehandalan, daya tanggap, jaminan, simpati, dan fasilitas fisik. Hasil perhitungan menggunakan MANOVA menunjukkan t_hitung  wilk’s lambda sebesar 0,35 dan  U_(2;4;76)^0.05 sebesar 0,713. Maka dapat disimpulkan bahwa t_hitung? U_tabel(0,35?0,713) sehingga H0 ditolak dan H1 diterima yang berarti terdapat pengaruh jenis pasien terhadap kualitas pelayanan di RSUD Kabupaten Sampang."
497,PEMILIHAN SUPPLIER DAN OPTIMASI PASOKAN BAHAN BAKU DENGAN METODE MIXED INTEGER PROGRAMMING (STUDI KASUS : UKM BARU USAHA desa Padelegan Kecamatan Pademawu Kabupaten Pamekasan),Ahmad Taufik,"Ida Lumintu, S.T. M.T., Ph.D","Rullie Annisa, S.T. M.T","UKM BARU USAHA merupakan Usaha Kecil Menengah yang bergerak dalam proses
produksi ikan, dimana bahan baku yang digunakan yaitu ikan teri dan ikan cumi - cumi.
Kegiatan produksi bergantung pada Supplier dan ketersediaan bahan baku. Saat ini Supplier
yang dimiliki oleh UKM BARU USAHA hanya ada dua sehingga ketersediaan bahan baku
kurang mencukupi dan menyebabkan sering berhentinya kegiatan proses produksi. Oleh sebab
itu, perlu penambahan jumlah Supplier untuk menjaga agar ketersediaan bahan baku tercukupi.
Penelitian ini akan mempelajari pemilihan Supplier dan pemesanan bahan baku agar kegiatan
produksi dapat berjalan dengan baik. Metode yang digunakan dalam penelitian ini adalah
Mixed integer programming. Pemilihan Supplier dengan beberapa kriteria antara lain : harga
bahan baku, dan kapasitas Supplier. Selama ini pasokan bahan baku pada UKM BARU
USAHA masih belum optimal yang berakibat pada proses produksi dalam kategori
rendah sehingga menyebabkan keuntungan yang diperoleh sangatlah minim.
Berdasarkan hal tersebut, adanya alternatif pemilihan Supplier menjadi salah satu
faktor penentu kemajuan UKM BARU USAHA, sehingga fokus penelitian ini
dilakukan pada analisis pemilihan Supplier dan optimasi kapasitas pasokan bahan baku
sehingga diperoleh alternatif yang optimal..
Kata kunci : Model optimasi, pemilihan Supplier, alokasi pemesanan, MIP"
498,IDENTIFIKASI POTENSI PERUBAHAN SISTEM MANAJEMAN KESELAMATAN DAN KESEHATAN KERJA UNTUK PENGENDALIAN KECELAKAAN KERJA,ACHMAD MAHRUS,"Dr.KUKUH WINARSO,S.Si.,M.T.","IDA LUMINTU,S.T.,M,T.,Ph.D.","Penelitian ini bertujuan untuk mengetahui kondisi IKM Pandai Besi Saturi Makmur Pamekasan berdasarkan pandangan K3 dan menganalisa resiko kerja pada setiap langkah kerja di bagian penempaan di IKM Pandai Besi Saturi Makmur Pamekasan. Metode penelitian yang digunakan adalah metode penelitian deskriptif dengan pengamatan berupa dokumentasi secara langsung. Hasil penelitian menujukkan bahwa: 1)  Proses kerja pada bagian penampaan terjadi beberapa potensi bahaya seperti kebisingan, getaran, suhu dan ergonomis tempat kerja sehingga penerapan K3 yang dilakukan IKM pandai besi saturi makmur Pamekasan dikatakan kurang optimal 2) Resiko kerja pada setiap langkah kerja di bagian penampaan diantaranya mengalami luka bakar area bagian tangan pada proses pembakaran, pekerja terkena percikan lempeng baja yang masih panas pada proses penempan bahan, pekerja terkena percikan api yang dapat mengenai mata pada proses pembuangan celurit yang tidak diinginkan dan posisi duduk pekerja tidak ergonomis cepat mengalami kelelahan punggung pada proses pengalusan, sehingga pengendalian resiko dapat dilakukan pengendalian administrasi dan perlu pengendalian APD dalam tindakan pencegahan resiko kerja."
499,"PENGARUH  PAKAN  TAMBAHAN  TEPUNG  BEKICOT  MENTAH  DAN REBUS TERHADAP BERAT TELUR AYAM RAS PETELUR (HYBRID)  
",Moh. Rahman,"Ida Lumintu,S.T.,M.T.,Ph.D","Heri Awalul Ilhamsah,S.T.,M.T","Bekicot  merupakan  hewan  molusca  yang  bergerak  dengan  menggunakan perutnya.  Bekicot  memiliki  banyak  kandungan  nutrisi  dan  sangat  baik  untuk digunakan  sebagai  salah  satu  komposisi  pakan  ayam  petelur.  peneliti menggunakan  tepung  bekicot  sebagai  pakan  ayam  petelur.  Pemberian  pakan terhadap  ayam  petelur  dilakukan  2  kali  dalam  sehari  dengan  takaran  setiap pemberian pakan sebanyak 60gr. Penelitian ini bertujuan untuk mengetahui berat telur  ayam  petelur  yang  diberi  komposisi  pakan  dari  tepung  bekicot  mentah  dan tepung  bekicot  rebus.  Peneliti  menggunakan  18  ayam  petelur  yang  sudah  pernah bertelur  yang  dilakukan  selama  satu  bulan.  Rancangan  penelitian  menggunakan rancangan acak lengkap (RAL) yang terdiri atas dua faktor yaitu faktor pemberian pakan  tambahan  tepung  bekicot  rebus  dan  tepung  bekicot  mentah.  Penelitian  ini terdiri  dari  6  perlakuan  dan  3  perulangan.  Perlakuan  PKTBM1  (pakan  kontrol 35%  +  tepung  bekicot  mentah  25%),  PKTBM2  (pakan  kontrol  25%  +  tepung bekicot  mentah  35%),  PKTBM3  (pakan  kontrol  15%  +  tepung  bekicot  mentah 45%),  PKTBR1  (pakan  kontrol  35%  +  tepung  bekicot  rebus  25%),  PKTBR2 (pakan kontrol 25% + tepung bekicot rebus 35%) PKTBR3 (pakan kontrol 15% + tepung  bekicot  rebus  45%).  Rata-rata  total  berat  telur    PKTBM1,  PKTBM2, PKTBM3,  PKTBR1,  PKTBR2,  PKTBR3  berurutan  yaitu  65,44  gram,  71,333, 70,00 gram, 65,44  gram, 68,00  gram dan 70,611  gram. Komposisi pakan  terbaik untuk ayam petelur yaitu pakan dengan komposisi tepung bekicot mentah dengan takaran  atau  level  pada  35%.  Rata-rata  berat  telur  ayam  yang  diperoleh  dari pemberian tepung bekicot mentah 35% yaitu 71,333 gram dan sangat berpengaruh dibandingkan tepung bekicot rebus. Kata Kunci: Ayam ras petelur (hybrid) , tepung bekicot, RAL. "
500," PENERAPAN METODE QFD (QUALITY FUNCTION DEPLOYMENT) UNTUK MENINGKATKAN KUALITAS PRODUK BATIK (Studi Kasus : IKM Batik Peri Kecil Kecamatan Burneh Kabupaten Bangkalan)
",Mahmud,"Ida Lumintu, S.T.,M.T.,Ph.D","Teguh Prasetyo, S.T.,M.T","ABSTRAK
Salah satu metode yang digunakan dalam penelitian untuk meningkatkan 
kualitas produk atau jasa dalam memenuhi kebutuhan konsumen atau pelanggan
kemudian dihubungkan dengan ketentuan teknis dihasilakn suatu metode QFD
(Quality Function Deployment). QFD merupakan pendekatan yang sistematik
dalam menentukan apa yang diinginkan konsumen dan menerjemahkan
keinginan tersebut secara akurat kedalam desain teknis, manufacturing, dan
perencanaan produksi yang tepat pada prinsipnya QFD membantu
mendengarkan suara atau keinginan konsumen dan bergunan untuk
brainstorming session bagi tim pengembang untuk menentukan cara terbaik
dalam memenuhi kenginan konsumen. 
 Berdasarkan prioritas perbaikan untuk meningkatkan kualitas produk
batik dari Peri Kecil hendaknya perbaikan yang dilakukan terlebih dahulu yakni
Melakukan standarisasi selama proses pewarnaan dan bahan pewarna yang
digunakan, dari produk batik yang di produksi oleh peri kecil proseedur proses
pewarnaan sebaiknya dilakukan SOP yang baik sehingga warna yang didapatkan
warna dari produk batik IKM memimiliki kesamaan apabila IKM Peri Kecil
memproduksi dengan jumlah yang banyak sehingga konsumen akan lebih puas
dengan proses pewarnaan yang dihasilkan. Selanjutnya dari persyaratan teknik
dengan melakukan inovasi setiap 6 bulan sekali, karena dengan banyaknya
inovasi yang dilakukan oleh pihak Peri Kecil akan menghasil produk batik yang
selalu mendapatkan perbaikan atau pengembangan dibandingkan dengan produk
batik yang monoton. Selanjutnya menyesuaikan dengan motif yang tren saat ini,
dengan mengikuti motif batik yang tren saat ini. 
Kata Kunci : Quality Function Deployment "
501,"PERBANDINGAN METODE P-MEDIAN, P-CENTER, DAN MAXIMAL COVERAGE DENGAN PERBANDINGAN MULTICRITERIA PADA ALIRAN RANTAI PASOK TEMBAKAU BOKABO KABUPATEN SUMENEP",Muhammad Imaduddin Abdur Rohim,"Dr. Kukuh Winarso S.Si., M.T.","Sabarudin Akhmad S.T., M.T.","Pulau Madura adalah daerah penghasil tembakau terbesar di Indonesia dengan luas 30-33% dari total luas perkebunan tembakau di Indonesia. Namun, selama 3 tahun terakhir areal perkebunan tembakau di Pulau Madura mengalami penurunan yang berdampak pada penurunan produktivitas tembakau. Hal ini disebabkan oleh volatilitas harga yang dimainkan oleh perantara sebagai monopoli pasar terhadap gudang perusahaan. Desain rantai pasokan baru diasumsikan bahwa aliran rantai pasokan ke gudang perusahaan dilakukan tanpa perantara. Ini memiliki tujuan bahwa dengan tulisan ini, dapat merekomendasikan kelompok petani untuk mengirim tembakau bokabo langsung ke gudang perusahaan. Penilaian ini dengan membandingkan tiga metode fasilitas lokasi yang terdiri dari p-median, p-center, dan maximal coverage akan menentukan lokasi fasilitas terbaik dalam beberapa kriteria sehingga gudang dapat dibangun sesuai dengan masalah yang ada. Hasil perbandingan beberapa metode dengan objek adalah rantai pasokan tembakau bokabo Kabupaten Sumenep. Hal ini menunjukkan bahwa p-median adalah metode terbaik di C1, C2, C4 dan C8 yang berarti bahwa jika ada pembangun gudang ingin jarak rata-rata permintaan ke fasilitas utama, jarak rata-rata permintaan untuk fasilitas utama dan cadangan, jarak rata-rata permintaan untuk fasilitas cadangan, dan biaya minimum untuk setiap distribusi harus menggunakan masalah p-median. Sedangkan untuk C3 diisi oleh p-median untuk r kecil (kisaran batas) dan untuk r besar (kisaran batas) diisi oleh cakupan maksimal yang berarti bahwa cakupan maksimal dan p-median berlaku untuk masalah ini. C5 berikutnya diisi oleh cakupan maksimal yang merupakan metode yang memiliki keunggulan dalam mengisi permintaan antara fasilitas utama dan cadangan. Hasil terakhir, C6 dan C7 diisi oleh p-center yang berarti p-center akan meminimalkan jarak maksimum ke fasilitas utama, fasilitas primer dan cadangan."
502,FAKTOR-FAKTOR YANG BERPENGARUH TERHADAP PENETAPAN GREEN INDUSTRY PADA PERUSAHAAN SEMEN YANG GO PUBLIC BERDASARKAN STANDART INDUSTRI HIJAU,Astri Putri Dewanti,"Dr. Kukuh Winarso S.Si., MT.","Anis Arendra S.T., M.Eng.","Salah satu tujuan penyelenggaraan perindustrian di Indonesia adalah mewujudkan industri yang mandiri, berdaya saing dan maju serta industri hijau. UU No 3 tahun 2014 tentang perindustrian memberikan pengertian industri hijau sebagai “industri yang dalam proses produksinya mengutamakan upaya efisiensi dan efektivitas penggunaan sumber daya secara berkelanjutan”. Dalam penetapan green industry, kementrian perindustrian telah menyiapkan standar yang disebut dengan standart industri hijau. Pada industri semen terdapat 3 variabel yang digunakan sebagai acuan untuk menetapkan green industry yaitu, proses produksi, pengelolahan limbah dan emisi, dan manajemen perusahaan. Dari ketiga variabel tersebut ternyata ketiga variabel tersebut berpengaruh positif dan signifikan terhadap penetaapan status green industry pada industri semen.

Kata kunci: Green Industry, Standart Industri Hijau, Industri Semen
"
503,ANALISIS OVERSTOCK : PENENTUAN KEBIJAKAN PENGELOLAAN PERSEDIAAN PRODUK DI PT. GAYA SUKSES MANDIRI KASEINDO,Moh Syahrul Romadhon,"Ida Lumintu, S.T., M.T., Ph.D","Agus Salim, S.T., M.T.","Penelitian  ini menjelaskn mengenai pemecahan masalah overstock di perusahaan. Penentuan kebijakan dilakukan dengan membandingkan biaya persediaan antara metode peramalan terbaik dengan metode Ecoonomic Production Quantity (EPQ). Penentuan metode peramalan terbaik ditentukan oleh nilai MSE (Mean Square Error) terkecil. Untuk produk Cargill 800, metode peramalan terbaik adalah dengan metode Single Exponential Smoothing dengan nilai MSE 4063,28. Sementara untuk pallet Cargill 1000 dan pallet SMART, metode terbaik adalah dengan metode Double Exponential Smoothing dengan masing masing nilai MSE adalah 33390,2 dan 36740,2. Hasil perhitungan volume produksi dengan EPQ diketahui bahwa produksi dalam 6 bulan adalah sebanyak 14 siklus produksi dengan Cargill 1000  sebesar 255 unit, Cargill 800 sebesar 99 unit dan SMART sebesar 185 unit. Untuk nilai safety stock, produk Cargill 1000 sebesar 167 unit, produk Cargill 800 sebesar 43 unit dan produk SMART sebesar 185 unit. Sementara ROP untuk ketiga produk tersebut, berturut-turut sebesar 737 unit, 265 unit dan 705 unit. Berdasarkan perhitungan tersebut, diketahui bahwa total cost dengan metode peramalan adalah sebesar Rp. 1.846.264.027,-. Dan metode EPQ membutuhkan biaya Rp. 1.568.020.806. Jadi dapat disimpulkan bahwa metode EPQ dapat memberikan penghemtan sebesar 15,07%.
Kata Kunci : Overstock, Metode Peramalan, EPQ, Total Cost
"
504,"USULAN PERBAIKAN UNTUK MEMINIMASI KECACATAN PADA PRODUK FURNITURE YANG DIAKIBATKAN FAKTOR OPERATOR 
 (Studi Kasus PT Romi Violeta)",ANNI ARIFAH,"DR. KUKUH WINARSO,S.Si,. M.T","TEGUH PRASETYO, S.T,. M.T","Perusahaan furniture PT Romi Violeta merupakan perusahaan yang memproduksi berbagai macam jenis furniture seperti meja, kursi, laci, almari, tempat tidur, cermin. Berbagai macam jenis furniture yang diproduksi PT Romi Violeta merupakan produk ekspor yang bekerja sama dengan pihak perhotelan, sehingga mereka harus mempertimbangkan kualitas dari produk mereka. Proses produksi di PT Romi Violeta telah dilaksanakan dengan baik, pada kenyataannya masih seringkali ditemukan ketidaksesuaian produk yang dihasilkan dengan yang diharapkan, atau produk yang dihasilkan mengalami kerusakan. Kecacatan furniture setelah dilakukan analisis menggunakan diagram fishbone yang meliputi faktor mesin, faktor operator, faktor lingkungan, faktor alat, faktor metode, faktor material diperoleh hasil bahwa faktor yang paling dominan menyebabkan kecacatan yaitu dari faktor operator. Hasil improvement yang telah dilakukan dengan menggunakan metode Delphi terdapat 13 usulan perbaikan untuk meminimasi kecacatn furniture.

Kata Kunci: Pengendalian kualitas, metode delphi, improvement."
505,Peningkatan Kualitas Produk Bonang Gamelan Reog Ponorogo Menggunakan Pendekatan House of Quality (HoQ) pada Metode Quality Function Deployment (QFD),Nora Rukmawati,"Dr. Rachmad Hidayat, S. T., M. T.,","Rullie Annisa S, T., M. T.,","Dalam meningkatkan produk bonang gamelan, diperukan adanya strategi untuk meningkatkan kualitas produk. Melihat semakin bertambahnya kompetitor pengrajin gamelan dan semakin bertambahnya potensi wisata kesenian Reog Ponorogo, pengrajin perlu mengelola dan meningkatkan kualitas kerajinan yang diproduksi oleh Pengrajin Gamelan Reog Mbah Djikun. Populasi penelitian adalah konsumen yang memiliki persentase angka penjualan tertinggi dari total penjualan kerajinan yaitu konsumen yang memesan bonang dan pengepul gamelan, dengan jumlah sampel sebanyak 60 responden dengan menggunakan metode Purposive Sampling. Data yang telah losos uji validitas dan reliabilitas pada kuesioner selanjutnya digunakan untuk pengolahan data selanjutnya, yaitu penentuan matriks rumah kualitas (House of Quality) pada Quality Function Deployment. Hasil penentuan prioritas dalam upaya peningkatan kualitas produk bonang gamelan secara berturut-turut yaitu: (1) proses pembuatan bonang, (2) mutu material, (3) teknik penghalusan, (4) ketepatan campuran adonan, (5) ketersediaan alat pengrajin, (6) teknik memadukan warna."
506,"MINIMALISASI RISIKO PENURUNAN KUALITAS PRODUK IKAN TERI PADA AKTIVITAS SUPPLY CHAIN DENGAN METODE HOUSE OF RISK (HOR)
",Ulfatus Syarifah,"Dr. Kukuh Winarso, S.Si., M.T.","Sugeng Purwoko, S.T., M.T","Dalam aktivitas supply chain selalu berpotensi untuk timbul risiko oleh sebab itu maka manajemen risiko sangat diperlukan untuk penanganan risiko. PT. Marinal Indoprima merupakan perusahaan manufaktur yang bergerak dalam bidang perikanan yaitu pengolahan bahan baku ikan teri dimana dalam aktivitas supply chain nya memiliki peluang untuk muncul risiko yang menyebabkan penurunan kualitas produk. Tujuan penelitian ini adalah untuk mengidentifikasi risiko penurunan kualitas serta agen risiko yang terjadi pada aktivitas supply chain kemudian merancang strategi mitigasi yang dapat digunakan untuk mengurangi munculnya agen risiko. Metode yang digunakan untuk menentukan prioritas dan strategi mitigasi adalah House of Risk (HOR). Dari hasil penelitian diperoleh 7 strategi mitigasi yang diusulkan untuk mengurangi kemungkinan munculnya agen risiko pada aktivitas supply chain perusahaan yaitu melakukan training rutin pada seluruh pekerja, menetapkan waktu standar untuk setiap proses pada lini produksi, mengaplikasikan mesin produksi sebagai pengganti pekerja, melakukan pengawasan dalam setiap aktivitas kerja dengan lebih ketat, koordinasi dengan pihak supplier, mengaplikasikan sistem pelanggaran pada pekerja upah kontrak borongan apabila mekanisme kerja tidak sesuai SOP, dan mengambil ikan teri hanya pada supplier terpercaya.

Kata Kunci : Supply chain, House of Risk, Strategi Mitigasi"
507,"FAKTOR-FAKTOR YANG MEMPENGARUHI KEPUASAN NASABAH TERHADAP KUALITAS PELAYANAN PEGADAIAN
(Studi Kasus: Pegadaian CP Bangkalan)
",Siti Lailatul Badriyah,"Dr. Kukuh Winarso, S.Si., M.T","Rullie Annisa, S.T., M.T","Persaingan bisnis yang semakin ketat dalam perkembangan teknologi saat ini, informasi menjadi fungsi utama untuk mengetahui seberapa besar kepuasan nasabah terhadap pelayanan pegadaian. Penelitian ini bertujuan untuk mengetahui tingkat kepuasan nasabah dan faktor-faktor yang mempengaruhi kepuasan terhadap pelayanan pegadaian CP Bangkalan. Faktor-faktor tersebut dibentuk dari beberapa variabel, yaitu Reliability (X1), Responsiviness (X2), Assurance (X3), Empathy (X4) dan Tangibles (X5). Penelitian ini menggunakan metode analisis faktor dan PLS (Partial Least Square) dengan sumber data yang digunakan adalah sampel dari 100 responden. Hasil dari penelitian tersebut menunjukkan terdapat 7 faktor yang terbentuk dari 21 indikator yaitu X53, X22, X41, X12, X33, X35 dan X36 dan hampir semua indikator terhadap variabel berpengaruh signifikan karena nilai t hitung dari koefisien > t tabel yaitu sebesar 1,647.

Kata Kunci: Kepuasan nasabah, kualitas pelayanan, analisis faktor, PLS (Partial Least Square).
"
508,Pengukuran Kinerja Perusahaan dengan Metode Integrated Performance Measurement System (IPMS)  (Studi Kasus : PT. Marinal Indoprima Kapedi),Fitriyah,"Imron Kuswandi, S.T., M.T.","Indra Cahyadi, S.T., M.Bus. Ph.D.","ABSTRAK
Perkembangan dunia bisnis yang semakin kompetitif menyebabkan perubahan besar
dalam hal persaingan produksi, pengelolaan sumber daya manusia, penanganan transaksi
antara perusahaan dengan konsumen serta perusahaan dengan perusahaan lain. Adapun
penelitian ini bertujuan untuk mengukur kinerja perusahaan di PT. Marinal Indoprima
Kapedi dengan mengidentifikasi stakeholder perusahaan dan menyusun key performance
indicator. Selanjutnya dilakukan pembobotan AHP untuk setiap key performance
indicator yang sudah divalidasi. Pembobotan ditujukan terhadap 3 respondeh ahli (pakar)
dan paling mengerti perusahaan sehingga responden yang dipilih adalah kepala
perusahaan, manager SDM dan manager produksi.
Hasil dari penelitian ini adalah scoring masing-masing perspektif dan key performance
indicator unit perusahaan. Bobot hasil pengukuran kinerja dengan metode AHP antara
lain : 0,5239 untuk pemilik, 0,1597 untuk karyawan, 0,1001 untuk pelanggan, 0,1752
untuk supplier dan 0,0409 untuk masyarakat. Dan untuk nilai performansi perusahaan
adalah 5,99.
Kata Kunci : Pengukuran Kinerja Perusahaan, IPMS, AHP, Objective Matrix (OMAX),
Traffic Light System"
509,Pengukuran Antropometri Tangan Anas Usia 8 sampai dengan 12 Tahun di Kecamatan Kamal Untuk Perancangan Mouse,Nurul Ilmi Zannah,"Ida Lumintu, S.T., M.T., Ph.D","Mahrus Khoirul Umami, S.T., M.Sc., Ph.D","Perubahan gaya hidup masyarakat Indonesia mengalami perkembangan yang cukup pesat. Hal ini disebabkan karena menigkatnya pengguna komputer yang tidak terbatas pada kalangan dewasa melainkan kalangan muda termasuk anak-anak. Penggunaan komputer pada anak-anak didukung dengan adanya pelaksanaan Ujian Nasional Berbasis Komputer (UNBK) pada siswa sekolah dasar.
Berdasarkan perkembangan tersebut, akan dilakukan penelitian perancangan mouse yang dirancang khusus untuk anak-anak. Perancangan tersebut dilakukan dengan melakukan pengukuran antropometri pada tangan anak usia 8 sampai 12 tahun. Pengambilan data dilakukan terhadap 174 orang siswa-siswi sekolah dasar negeri di kecamatan Kamal. Pengolahan data dilakukan dengan menggunakan uji kecukupan, uji keseragaman, uji kenormalan, menetukan persentil serta melakukan pengujian independent one sample t-test.
Kata kunci : Komputer, mouse, antropometri, uji kecukupan, uji keseragaman, uji kenormalan, persentil, independent one sample t-test."
510,PENGARUH KUALITAS PELAYANAN DAN KINERJA PERUSAHAAN TERHADAP TINGKAT KEPUASAN DAN LOYALITAS PELANGGAN PT ASTRA HONDA MOTOR DI PAMEKASAN,Robby Candra Ariwinata,"Dr. Kukuh Winarso, S.Si., M.T.","Anis Arendra, S.T. M.Eng","Pada era globalisasi, banyak perusahaan jasa yang bersaing ketat dalam dunia bisnis dalam melayani pelanggan melalui penawaran produk maupun jasa. Persaingan tersebut banyak menuntut perusahan agar memaksimalkan kinerjanya, semakin kreatif dan inovatif sehingga dapat bersaing di pasar global. Kepuasan konsumen merupakan faktor yang sangat penting bagi perusahaan untuk meningkatkan kualitas pelayanan sehingga perusahaan akan terus menerus melakukan evaluasi dalam membangun kepuasan konsumen dan menjadi acuan dalam meningkatkan pengembangan bagi perusahaan kedepannya. Dari hasil penelitian didapatkan hasil uji pada pengaruh kualitas pelayanan dan kinerja terhadap tingkat kepuasan dihasilkan grafik normal P-P Plot of regession standardized residual tersebut terlihat sebaran titik-titik mendekati garis lurus, sehingga dapat disimpulkan bahwa data residual berdistribusi normal dan grafik scatterplot sebaran titik-titik tidak membentuk suatu pola atau alur tertentu, hal ini dapat disimpulkan bahwa data tidak terjadi heteroskedastisitas sedangkan pada hasil uji pengaruh kualitas pelayanan dan kinerja terhadap loyalitas pelanggan dihasilkan grafik normal P-P Plot of regession standardized residual relative mendekati garis lurus, sehingga dapat disimpulkan bahwa data residual berdistribusi normal dan dari grafik scatterplot sebaran titik-titik tidak membentuk suatu pola atau alur tertentu, hal ini dapat disimpulkan bahwa data tidak terjadi heteroskedastisitas."
